2004,CLE,80,246,1291,129,18,0.146,0.767,0.077,0.011,0.496,0.512,0.469,0.333
2005,CLE,79,196,1424,181,22,0.108,0.781,0.099,0.012,0.548,0.517,0.453,0.591
2006,CLE,78,207,1240,148,26,0.128,0.765,0.091,0.016,0.541,0.505,0.5,0.346
2007,CLE,75,147,1234,227,34,0.09,0.752,0.138,0.021,0.544,0.51,0.54,0.544
2008,CLE,81,253,1220,129,11,0.157,0.756,0.08,0.007,0.464,0.547,0.5,0.5
2009,CLE,76,226,1114,154,34,0.148,0.729,0.101,0.022,0.451,0.574,0.51,0.382
2010,MIA,79,248,1112,110,15,0.167,0.749,0.074,0.01,0.552,0.546,0.495,0.333
2011,MIA,62,204,868,83,14,0.175,0.743,0.071,0.012,0.502,0.571,0.494,0.607
2012,MIA,76,154,1037,133,30,0.114,0.766,0.098,0.022,0.568,0.621,0.568,0.317
2013,MIA,77,167,1046,120,20,0.123,0.773,0.089,0.015,0.581,0.622,0.567,0.45
2014,CLE,69,218,929,123,10,0.17,0.726,0.096,0.008,0.548,0.53,0.561,0.35
2015,CLE,76,226,1056,108,26,0.16,0.746,0.076,0.018,0.569,0.559,0.44,0.538
